AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQVL,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMER,RMEV,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR
305.6880871,253.2296879,373.6706092,261.0884644,38.14425237,8.136651473,78.44201214,74.71452571,89.94190782,70.87605514,27.75564247,29.40201577,42.55461669,9.178921669,8.136651473,9.173680519,113.1521763,101.2780267,31.72547676,139.6702578,19.35582838,23.17516893,20.14267791,6.726684303,97.07767654,15.6054797,76.5813291,22.90557843,55.12174937
307.486133,238.3506953,376.7793919,254.4174107,33.68595077,3.618136884,77.24899653,70.5969454,88.56116131,63.30685405,15.43808447,24.1849188,40.62615118,8.148726321,3.618136884,5.883816306,115.5697489,99.2394852,34.43711783,145.3696723,15.59856865,23.71098393,18.13625259,2.886282093,104.6521729,13.64782834,84.49586689,17.43013533,47.76144349
309.6031065,241.7813158,374.5617682,267.4070266,30.45862999,13.2685764,78.07557436,74.88037999,79.98715125,73.24599386,20.7143413,28.01555314,37.17127004,12.29195212,13.2685764,5.467638029,111.5916028,87.58738693,37.85569034,166.9060111,14.32687725,21.82691687,21.36498255,3.166492608,116.2941447,9.588628458,85.18816503,13.9419598,55.0246125
323.3631255,246.365413,371.8351952,258.9437097,23.6789404,9.288942893,73.84338145,73.73561855,77.56468518,88.31144736,23.96785612,28.08806867,37.59137823,4.995307343,9.288942893,3.61849779,114.059368,94.6833204,32.98420675,157.4747637,15.33748877,20.89251353,18.70169182,5.39640749,103.6986094,10.7977703,85.83160201,18.08489838,56.59540526
349.7410094,265.2294638,354.3288546,278.7497193,26.8631065,13.28493171,92.26279834,92.72152891,96.60381356,94.68807877,31.93816529,40.12312592,46.48092384,11.10711022,13.28493171,10.26385723,125.2389033,102.6342187,39.43646067,113.0409843,18.61776827,26.44118455,16.03072073,18.98545849,71.48718549,22.18134165,92.46773322,24.78205412,51.0868381
337.1112861,237.2066146,382.3307479,279.475337,21.84317611,9.764723149,92.494427,80.42492061,88.24868612,100.391625,32.11372464,40.64428513,50.83594393,6.109527287,9.764723149,7.098829902,148.9470352,103.8060408,29.84906075,88.32685155,13.87719434,27.28645238,16.8515685,17.00185768,55.71523279,27.42034064,88.96842118,33.17618809,56.82036887
320.596112,237.1436119,385.2180031,274.6289199,18.71752162,2.312742543,97.05538855,91.65885182,94.14050533,94.71325424,29.34899022,40.42089738,52.30598624,0,2.312742543,8.739130981,148.4907486,110.1257754,30.5864701,67.60850563,6.495442767,21.46052555,15.55033573,15.05285227,35.53865799,29.48911437,93.6095693,31.48267816,56.39705659
314.2454973,233.0504163,360.8263496,268.9535003,11.26860065,6.625560502,89.61666189,74.83234438,86.46415529,89.99246815,39.60441914,32.53881289,50.17621375,6.469786137,6.625560502,8.858611792,155.1221666,96.50563666,29.58872662,68.36488136,7.837476902,16.01956735,15.91286828,20.04633182,34.22803851,37.68970662,89.95059553,33.7063907,55.6568681
317.7864857,230.3875495,385.15184,253.978649,14.67832637,3.650798776,94.08355773,89.65205394,86.0547903,90.60398915,30.06148492,36.49296702,50.0381271,0.27687232,3.650798776,4.434186227,188.5450271,115.0263639,35.72514158,57.66193276,5.633310123,17.42293772,9.728988848,21.79425287,25.92869607,41.67527408,85.63662386,34.86869785,52.49682105
305.3443029,226.0493824,382.6891977,249.1942273,7.380907062,7.748895666,93.51146541,78.70917526,80.31951183,82.63599759,31.00560284,30.50190131,42.81917879,0.963164894,7.748895666,3.918423581,162.016538,100.0305035,56.02420439,45.30263489,5.217582672,17.68407328,9.723128877,32.10980191,11.16221329,51.81096147,76.57275324,30.85025978,44.95199794
286.5875016,188.9275078,351.4726302,217.6394166,4.51581905,72.67650264,95.0812199,64.97767235,72.80094899,95.17162931,25.12199612,29.99837378,50.02441116,17.30938423,72.67650264,7.436449517,151.2933288,75.57322868,104.4432103,41.743204,4.908230006,32.39458873,8.226936365,64.25116475,3.367271941,60.50746867,65.09353299,28.00586511,33.63119065
212.6398209,126.9070106,292.0446609,167.1161052,44.25037716,187.1053481,82.04592884,49.39327091,71.67751404,89.32743059,10.99818663,20.78640147,38.39332937,161.7318128,187.1053481,30.66857703,120.4103831,40.61412717,133.4378198,40.90318361,9.667988972,53.04416483,18.90745518,91.1062024,2.051575267,52.10462388,50.95090335,29.24923398,31.382352
164.5650292,89.22841598,216.1822201,147.2907217,75.88285875,236.4518084,63.49071091,44.94152775,115.5715391,118.4705083,23.10525806,24.9207962,43.8508187,294.076831,236.4518084,74.549302,100.1387858,34.00739928,121.1075871,27.51767101,25.02014511,89.38716266,34.20256114,148.0092804,4.707744278,40.23599943,43.59769152,25.31152888,29.53482394
134.8430133,89.93088656,160.0798054,98.91240685,100.6579657,235.0706714,56.10737646,41.78897337,126.3951514,124.9431295,25.09931337,5.396448061,41.88948246,353.0601877,235.0706714,87.53602983,81.89608634,36.18682875,112.8301155,21.53483704,27.99293497,115.8133848,48.62826544,179.2508908,15.46941083,34.1758035,44.10367801,24.74602679,21.6501794
125.0773889,76.62947453,142.8243883,70.58568245,124.5661494,255.0426038,52.40319965,28.27043781,120.9173327,121.3324873,26.87763428,0,33.7716119,384.430812,255.0426038,90.95248753,69.20931222,27.67914401,99.95805668,15.85294904,36.37807081,145.3194915,46.63492773,199.6071811,9.103371831,28.95174916,37.12729436,18.52966985,18.93759998
122.169388,58.4016755,119.9698623,73.01793011,151.4909804,250.0479657,45.00052385,25.96214786,115.7408516,129.3632932,28.55799888,30.23793565,28.33848669,374.3107604,250.0479657,101.617467,58.89021251,14.90031381,114.2572013,18.07515248,48.18236072,167.769723,51.43795271,205.8329375,15.51606887,23.16979194,32.83102791,18.2593106,22.51635625
