AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQDL,OLQDR,OLQVL,OLQVR,RIBL,RIBR,RID,RIML,RIMR,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDDR,SMDVL,SMDVR,URYDL,URYDR,URYVL,URYVR
277.0511624,205.851837,371.7335792,381.2032809,20.18541961,1.598490383,134.3259568,153.7806345,51.54693976,29.02809532,62.07886121,132.7283686,484.2778174,343.1024057,72.83690949,148.7735856,0.145611,0.514615,0.145613,12.1920517,23.42287637,77.80657197,31.06081972,55.95361687,44.74693481,4.322937033,42.61233863,0.670105193,1.264131,17.87258045,259.0383945,354.5462422,373.9013934,120.4032725,121.0539667
242.5622066,180.5789859,263.8474948,314.984907,26.79654067,3.092317082,94.50361238,101.0587116,21.65535723,18.07916836,38.93707523,85.74431881,140.8665754,130.7676656,52.64670015,118.9727911,6.405863156,14.1941218,5.787958547,18.5708276,17.41900385,105.4539858,45.24520839,28.52562384,37.4271503,9.560953251,19.1881662,13.04698466,4.926676607,51.7129835,308.4102607,158.0784699,107.6601562,90.23618754,101.633533
235.6807321,178.0869687,246.8555894,301.1354619,24.21044165,8.07554877,84.0949797,100.8510434,21.7466313,21.1384486,46.167842,99.86029303,112.1386589,120.207994,55.87841593,98.95443911,10.93133111,27.00259877,9.123488159,21.15918014,18.76138462,124.6547137,67.7231108,25.57694704,50.11426366,16.0427753,24.06163123,25.06859248,10.74243974,51.47267645,362.0759606,151.0574094,117.0198622,88.15152058,83.17973835
239.4718645,160.5830144,211.4862686,239.5866031,22.58848519,6.031410397,64.90080537,79.68224992,30.08354626,20.91940487,38.98740944,85.57942907,94.65083712,101.3038119,42.46359164,89.14583746,10.92915197,24.12333827,4.821709498,20.85571892,15.58790188,89.02233352,122.8809148,21.22653211,34.1211276,14.17288622,26.82240479,23.07725033,4.650522038,31.73069255,315.9345253,135.9095413,129.2009969,63.06109728,69.7907533
260.0478642,211.5431363,243.0733172,257.9157049,20.56200995,4.475880423,83.40244304,102.4859322,41.59786676,25.02107277,21.82196918,56.41567755,87.30472735,82.48732211,39.02642573,87.0009854,7.734033289,32.55337791,7.649542604,26.30976414,12.93407954,77.44156178,117.9044811,23.46092425,46.71596367,5.377209747,33.20960408,26.07983466,6.399519799,17.4188427,181.5264802,120.41699,110.4151178,65.77178185,73.97949851
298.2921029,174.1717659,266.4584,302.1795647,27.45155498,10.81790486,98.07582945,98.71428204,59.67663594,36.83273015,29.79173706,61.82114304,120.2256237,116.859387,41.09814435,99.65986877,11.97541243,34.93652699,7.273616571,33.47547399,19.64010083,79.6761407,130.7269099,18.56171051,27.97084783,7.749413375,39.98377731,29.68709341,10.01867595,15.5332135,122.0072869,134.6132158,114.6171381,78.75919226,81.33515159
282.3451008,192.6373829,274.6950325,290.1503891,24.54683628,4.292619382,94.94987219,102.0872519,59.0350183,36.73894412,35.2068575,70.78343757,132.7920873,114.2668362,39.13271816,98.87116115,10.96719618,27.73267172,8.360883626,29.2360275,28.49606293,69.61577336,93.12471303,19.05727587,24.60663562,5.311835131,39.67868935,25.68322125,7.757099392,17.48879365,82.95716481,123.5054108,96.15609166,69.44785122,77.27990514
288.9442954,192.2473492,303.4933751,299.752084,19.48002673,3.664104083,103.1658851,116.4189618,66.3782436,41.47944161,40.44898931,88.10140019,131.1851128,115.3691103,42.62247936,94.53800414,12.92104437,29.99406212,10.05689206,30.42198462,33.60412624,52.27564005,87.07349154,18.46689668,44.34609151,7.453047378,43.37484412,32.20837062,14.89430643,12.37286779,65.47004609,123.453534,107.1028135,73.73813897,86.42933386
285.4713614,189.4759229,304.4788487,298.3129893,16.24586324,4.591194278,96.14260601,101.7726372,71.14526137,38.08018299,40.05390302,84.38561792,131.4085048,125.9033601,50.32247985,97.32492854,11.68707499,29.15069463,7.025361166,25.59352154,41.2653858,59.71868604,91.53260321,15.90363938,45.41144901,9.411766565,46.70383775,26.92763011,10.90841067,13.9707005,61.28678767,120.646701,100.7459017,78.34177311,72.4885409
278.3832871,184.6105056,278.6332888,281.8793549,14.99903385,1.078787344,97.30275917,101.9104205,73.31399126,38.3749882,39.60351272,84.80567855,121.7463246,125.4856367,50.02500896,96.29397109,9.881851598,22.823374,6.531987664,24.11263613,33.54136318,63.85842029,96.57775464,20.67598847,44.05562492,7.322464825,50.32684221,21.70336311,10.60378608,9.458583255,57.73312226,109.6467416,93.6795253,73.53297701,82.78048531
296.5264641,185.1541749,301.4117651,287.527215,16.09315486,5.983331771,102.7242289,116.9467999,77.57347273,45.65535682,43.66094773,80.62609861,130.8146648,141.0980379,43.66257666,100.4675534,10.47478288,26.49478665,8.579905023,22.00831668,37.37513946,49.57819164,102.7206513,15.5465288,50.07702585,4.058451998,51.36067414,20.75757964,12.38013669,14.2547544,46.13918783,119.3615932,107.569411,78.71507942,86.45276418
283.1498834,174.1914258,301.1068974,256.5342008,16.16685919,3.90232996,95.83950552,108.3309639,62.40787061,41.55856439,34.78551466,89.21966492,122.9704341,135.8390691,47.08639176,93.63163762,12.75298452,26.26317185,6.261504657,25.22527497,43.34220727,50.63689269,104.3846957,15.73521518,44.45133016,6.367758805,46.15391892,13.44261487,10.90016474,13.91297474,45.2768578,114.7590382,93.13144035,86.37620019,77.50021514
282.6005176,174.4897614,289.3199781,263.7950536,13.73041809,3.031581214,102.2992992,114.1114723,69.31440868,37.84597763,37.14998564,81.85521599,128.26965,140.0460275,46.53813656,88.66294115,8.458448493,28.78049566,9.739600213,25.97173822,39.23060691,54.69050948,102.3071324,16.78569967,63.94758637,5.83940108,45.17401471,24.38890258,11.29648772,14.94570535,49.50448984,113.9272002,108.1994271,77.7344525,80.9437399
286.2842354,166.4331336,290.9258878,250.6758423,19.23155356,2.057253054,103.9684675,117.1772268,57.18627631,34.33290494,36.74974927,78.10231129,116.240978,138.6026088,43.37507598,87.6498729,8.739800163,25.52358826,7.75741979,23.98799326,36.79289456,58.8456149,109.5043048,12.04831053,59.18553553,9.0268842,39.95784585,28.44344609,11.16414785,25.55444292,54.6110213,119.5116022,97.32290354,75.70977644,74.3326364
294.5509122,165.8675408,290.5840498,233.4205496,19.78472717,1.86982139,102.7290959,103.6801894,59.66927174,35.11762788,35.37019463,79.58705383,129.379343,122.9217598,49.79307579,93.69795109,11.47776734,24.30199723,7.052503323,24.20625081,35.19140995,62.79722502,92.53656866,13.64361818,62.32085729,4.686397432,38.94912012,19.58017681,14.08820811,21.20496179,49.81450083,114.5348696,102.7372367,74.56229461,72.07995238
280.5616374,160.9970288,245.1772551,226.6193384,13.26351317,2.127235424,105.4787373,112.4544335,52.22234504,32.53576698,41.36616653,78.97087261,127.7955445,125.6815945,46.28537712,95.38829933,9.365582079,20.99149039,7.804638891,24.67517008,36.41800853,56.83603822,98.23004802,10.49147205,57.49113556,5.845852843,35.51526969,32.43811421,15.63483546,16.54164709,42.46955532,108.7540136,95.77681957,75.60957718,70.90425045
290.2535089,183.3227473,245.4863246,245.337465,14.37583324,3.33824934,98.18824881,107.2150604,58.88170901,36.99712804,36.33750779,82.63460263,132.9561097,138.9311448,48.93235805,102.3927059,11.94829724,25.61254829,9.116992912,23.68173739,27.73407892,53.41929431,92.6194588,13.58772175,58.78191453,5.650050202,43.69217023,22.414248,20.99914311,14.7537477,41.85423701,104.0062985,97.46015564,77.04910558,87.39954372
305.7154714,193.4829416,236.1624119,249.7660177,13.7925914,6.657676248,116.4552844,121.2733843,67.14214155,39.45067587,41.61820059,88.09702114,142.0240147,132.8959957,49.02292592,103.114963,12.12427753,29.87444681,8.683144009,27.43354077,31.62332711,56.7533501,100.9556755,19.43429279,47.38541741,10.99726641,48.37639499,30.8022009,23.2263594,17.62666749,47.3158862,116.047896,106.1987032,78.10794566,82.671236
274.1578947,178.6257029,232.0596145,237.0779276,17.94788739,0.515615,106.3796679,120.6805682,63.44641583,38.28604157,40.42140273,83.56837504,144.1192324,116.5986372,45.5898833,101.8003489,15.07619742,27.1078738,12.33117708,26.94548747,26.73872727,57.44155045,108.6457312,17.2446337,40.5136943,4.643040517,49.4807474,26.5450918,21.18170312,23.29105107,53.7305272,117.3194722,92.60461261,79.40392246,86.34308477
