AIBL,AIBR,AVAL,AVAR,AVBL,AVBR,AVEL,AVER,BAGL,BAGR,OLLL,OLLR,OLQDL,OLQVR,RIBL,RIBR,RID,RIVL,RIVR,RMED,RMEL,RMER,RMEV,SMDDL,SMDVL,SMDVR,URYDL,URYDR,URYVL
110.387652,193.0197093,310.0967304,377.5522449,52.33263438,114.1115203,114.257623,62.20476449,45.57421,68.4087496,45.10971037,57.29648944,22.63688642,19.93137267,56.05738974,90.83594367,64.74105374,53.10708924,76.62662841,312.9611888,59.5465304,100.4260232,49.19144924,34.87671049,63.59730134,40.13416219,40.08600843,63.31259649,71.94809868
124.4020065,194.3990131,299.6147007,412.9151925,45.47807845,86.51427162,145.3274553,60.12996015,41.7563711,75.13930618,43.40773575,51.6970736,26.79677012,27.6006853,42.31735321,48.5783497,52.50598191,37.98646771,58.69700377,329.1720885,47.93243823,98.43120117,25.37935083,22.15863733,48.46195574,20.04506006,50.79299046,53.23369959,58.00994556
150.9559162,242.9314101,318.9363086,434.56107,42.91173057,71.04835685,164.7653306,71.13627995,46.19950011,80.30420085,49.26773516,56.83248901,41.78516121,30.61811769,43.86112307,42.39868953,48.9813793,35.46066175,64.80388379,293.8401046,57.95219642,109.464495,20.99053719,27.91825886,39.10868353,24.62779721,50.38603065,68.66582531,50.33736801
174.6626784,267.9409528,330.5482194,425.8043366,37.96988285,65.17250151,181.1416676,74.73043644,37.98778803,64.06914552,52.2400156,65.22563574,35.95361478,35.29789518,43.50433436,46.40441948,47.2762071,31.80418197,42.45358441,286.4422665,53.65217619,114.1515295,18.74864758,48.6966911,39.93747499,20.8771037,44.54376613,69.35825679,46.4005398
196.460885,309.1328636,347.8986954,445.5212909,31.42493139,64.2245369,188.9788769,85.62127298,37.85386748,56.64129128,63.91623009,74.03416118,51.97340149,46.83913063,33.64672406,34.78829481,45.47290263,31.57785863,38.78540208,279.9222131,57.27398862,139.2921623,22.67915192,35.896005,45.04315749,17.45276156,56.76725695,74.36798294,39.28411621
197.8205469,302.4049586,323.887599,412.2311121,33.24643615,45.30147599,173.6137017,82.00378452,33.62813366,47.60130541,57.08228248,61.39981622,41.05074543,48.80690021,31.36889706,27.99952445,38.73150797,20.36555078,31.08757015,257.4604975,40.47526648,120.9972412,11.40219854,11.80221786,22.54534588,10.65541435,43.02894716,69.73181962,42.27281907
231.9401501,311.4373897,336.5804756,410.0204632,16.86791477,40.02945233,179.8115441,81.27862155,36.31724546,49.62716324,56.22980205,69.14783665,51.84715011,48.36845777,39.29200539,21.29162717,37.57603501,19.22436071,31.66670595,233.2229798,43.99731009,128.8229517,17.79485521,13.73516542,39.52706652,18.23425002,51.09359108,66.23438812,36.71490698
237.3473596,335.0272407,339.6189666,427.0913952,24.16523305,40.23515892,187.3958513,85.63704833,40.64337318,40.64869652,58.75397295,71.245734,58.47821621,50.61919287,34.91941938,21.36261083,39.81806454,21.4300112,40.95484494,244.6244253,43.09509279,126.3342948,20.73262262,22.07837573,35.17733672,14.47106268,54.6071603,77.17648546,41.10509186
267.7078066,345.497872,337.220051,437.1653017,24.67255587,37.59727745,202.7228014,88.5960011,46.37232468,53.24695674,65.90521109,78.7433433,66.04651936,65.14770222,30.25491335,22.18513678,44.15278266,24.99182749,33.83897614,249.6383862,42.21637678,134.3782732,21.97071381,21.45217332,33.66961854,17.79867857,58.56092021,82.25800826,37.16380402
225.1320608,305.0412555,312.80213,395.3257696,14.40205518,33.95580852,165.6133907,77.33208367,34.5542902,58.81357179,52.8045203,66.34851758,55.3608645,55.11166923,27.66467508,14.97808771,32.03309276,13.71232615,22.05906646,204.2587404,29.27361188,119.5313556,13.13044663,22.30346077,26.5329994,9.308990881,54.57292284,70.65600878,20.44704388
